prison_type,convicted_status,offense_category,specific_offense,number,long_name
State,,Violent ,Murder,"168,845",People in state prison convicted of murder.
State,,Violent ,Manslaughter,"18,348",People in state prison convicted of manslaughter.
State,,Violent ,Rape/sexual assault,"169,443",People in state prison convicted of rape/sexual assault.
State,,Violent ,Robbery,"184,625",People in state prison convicted of robbery.
State,,Violent ,Aggravated or simple assault,"134,983",People in state prison convicted of aggravated or simple assault.
State,,Violent ,Other violent,"42,201",People in state prison convicted of other violent offenses.
State,,Property ,Burglary,"142,129",People in state prison convicted of burglary.
State,,Property ,Larceny-theft,"51,150",People in state prison convicted of larceny-theft.
State,,Property ,Motor vehicle theft,"10,900",People in state prison convicted of motor vehicle theft.
State,,Property ,Fraud,"27,828",People in state prison convicted of fraud.
State,,Property ,Other property,"28,542",People in state prison convicted of other property offenses.
State,,Drug ,Drug possession,"48,350",People in state prison convicted of drug possession.
State,,Drug ,Other drug,"163,677",People in state prison convicted of drug offenses other than possession.
State,,Public order ,Weapons,"51,925",People in state prison convicted of weapons offenses.
State,,Public order ,Driving under the influence,"25,984",People in state prison convicted of driving under the influence.
State,,Public order ,Other public order,"71,223",People in state prison convicted of other public order offenses.
State,,Other,Other/unspecified,"10,805",People in state prison convicted of other/unspecified.
Federal,,Violent,Homicide ,3135,People in federal prison convicted of homicide.
Federal,,Violent,Robbery,7876,People in federal prison convicted of robbery.
Federal,,Violent,Other violent,4360,People in federal prison convicted of other violent offenses.
Federal,,Property,Burglary,421,People in federal prison convicted of burglary.
Federal,,Property,Fraud,9897,People in federal prison convicted of fraud.
Federal,,Property,Other property,2316,People in federal prison convicted of other property offenses.
Federal,,Drugs,,105494,People in federal prison convicted of drug offenses.
Federal,,Public Order,Immigration,18790,People in federal prison convicted of immigration offenses.
Federal,,Public Order,Weapons,33364,People in federal prison convicted of weapons offenses.
Federal,,Public Order,Other,23440,People in federal prison convicted of other public order offenses.
Federal,,Other,Other unspecified,1474,People in federal prison convicted of other unspecified offenses.
Military,,Sexual ,Nonviolent,525,People held in military prisons for a nonviolent sexual offenses.
Military,,Violent ,Sexual,344,People held in military prisons for a violent sexual offense.
Military,,violent ,Murder,110,People held in military prisons for the offense of murder.
Military,,violent ,Manslaughter ,8,People held in military prisons for the offense of manslaughter.
Military,,violent ,Robbery ,4,People held in military prisons for the offense of robbery.
Military,,violent ,Aggravated/simple assault ,114,People held in military prisons for the offense of aggravated/simple assault.
Military,,violent ,Other violent ,20,People held in military prisons for other violent offenses.
Military,,Property,Burglary ,8,People held in military prisons for the offense of burglary.
Military,,Property,Larceny-theft ,43,People held in military prisons for the offense of larceny-theft.
Military,,Property,Motor vehicle theft ,0,People held in military prisons for the offense of motor vehicle theft.
Military,,Property,Fraud ,3,People held in military prisons for the offense of fraud.
Military,,Property,Other property ,16,People held in military prisons for other property offenses.
Military,,Drugs,,92,People held in military prisons for drug offenses..
Military,,Public order ,,3,People held in military prisons for public order offenses.
Military,,Military offenses ,,39,People held in military prisons for military offenses.
Military,,Other/unspecified ,,79,People held in military prisons for other/unspecified offenses.
Immigration Detention,,,Immigration,"32,805",People held by immigration authorities in their own facilities or elsewhere under contract.
Indian County jails,,,Indian County jails,"2,400",People held in jails run by tribal authorities.
Civil Commitment,,,Civil Commitment,"5,487",People who have been civilly committed after completion of their sentence.
Territorial prisons,,,Territorial prisons,"14,000",People held in prisons and jails in the U.S. territories.
Local,Convicted,Violent,Murder,1242,People held in local jails who have been convicted of murder.
Local,Convicted,Violent,Negligent manslaughter,896,People held in local jails who have been convicted of negligent manslaughter.
Local,Convicted,Violent,Kidnapping,667,People held in local jails who have been convicted of kidnapping.
Local,Convicted,Violent,Rape,1435,People held in local jails who have been convicted of rape.
Local,Convicted,Violent,Other sexual assault,5079,People held in local jails who have been convicted of other sexual assault.
Local,Convicted,Violent,Robbery,6487,People held in local jails who have been convicted of robbery.
Local,Convicted,Violent,Assault,22582,People held in local jails who have been convicted of assault.
Local,Convicted,Violent,Other violent,3242,People held in local jails who have been convicted of other violent offenses.
